time,Speed pointer 1,RPM pointer 1,
1659349342310,132.20664978027344,6747.8203125,
1659349342326,132.20664978027344,6747.8203125,
1659349342341,132.41494750976562,6804.33740234375,
1659349342356,132.57484436035156,6797.57421875,
1659349342372,132.84072875976562,6811.447265625,
1659349342387,132.85621643066406,6787.69287109375,
1659349342403,133.12806701660156,6846.5283203125,
1659349342419,133.2936553955078,6826.4697265625,
1659349342435,133.57296752929688,6845.85595703125,
1659349342450,133.62843322753906,6823.24560546875,
1659349342466,133.916748046875,6872.66357421875,
1659349342482,134.06077575683594,6848.72705078125,
1659349342498,134.32098388671875,6870.73486328125,
1659349342514,134.34349060058594,6851.271484375,
1659349342530,134.66799926757812,6908.4130859375,
1659349342545,134.8042755126953,6875.59912109375,
1659349342561,135.0775909423828,6902.2412109375,
1659349342577,135.0775909423828,6902.2412109375,
1659349342592,135.15151977539062,6933.2568359375,
1659349342608,135.4556884765625,6933.2568359375,
1659349342624,135.64117431640625,6911.005859375,
1659349342639,135.9241180419922,6930.40087890625,
1659349342655,135.99752807617188,6915.0615234375,
1659349342671,136.3685760498047,6968.63623046875,
1659349342686,136.58226013183594,6933.0615234375,
1659349342701,136.8116912841797,6946.4072265625,
1659349342717,136.9729461669922,6950.62939453125,
1659349342732,137.28724670410156,6981.00537109375,
1659349342748,137.53765869140625,6962.32421875,
1659349342762,137.6992645263672,6966.20068359375,
1659349342778,137.87930297851562,6989.68896484375,
1659349342794,137.87930297851562,6989.68896484375,
1659349342810,138.16346740722656,7012.9033203125,
1659349342826,138.60304260253906,6999.6884765625,
1659349342841,138.60304260253906,6999.6884765625,
1659349342856,138.6919403076172,7017.03271484375,
1659349342872,139.041748046875,7062.79345703125,
1659349342888,139.23045349121094,7033.04296875,
1659349342903,139.37640380859375,7046.13623046875,
1659349342919,139.50636291503906,7071.013671875,
1659349342935,139.82247924804688,7100.90771484375,
1659349342951,139.92019653320312,7074.24462890625,
1659349342966,140.1078643798828,7110.52294921875,
1659349342981,140.1650390625,7118.47021484375,
1659349342997,140.57147216796875,7168.92919921875,
1659349343013,140.6359405517578,7115.38671875,
1659349343028,140.6359405517578,7162.7900390625,
1659349343044,141.04307556152344,7177.677734375,
1659349343059,141.04307556152344,7177.677734375,
1659349343075,141.30380249023438,7181.408203125,
1659349343090,141.3804473876953,7168.68017578125,
1659349343106,141.6536865234375,7216.19873046875,
1659349343122,141.7649383544922,7200.31640625,
1659349343138,142.013671875,7236.1455078125,
1659349343154,142.12445068359375,7226.5400390625,
1659349343170,142.3668975830078,7259.93994140625,
1659349343185,142.443359375,7249.9775390625,
1659349343201,142.69659423828125,7290.708984375,
1659349343216,142.78802490234375,7275.23486328125,
1659349343231,143.03590393066406,7311.03662109375,
1659349343246,143.03590393066406,7297.90966796875,
1659349343261,143.3916015625,7340.11474609375,
1659349343277,143.49929809570312,7320.2294921875,
1659349343292,143.49929809570312,7320.2294921875,
1659349343308,143.76495361328125,7356.47998046875,
1659349343324,143.87115478515625,7382.28564453125,
1659349343340,144.19601440429688,7382.28564453125,
1659349343355,144.3442840576172,7354.876953125,
1659349343370,144.58609008789062,7383.8046875,
1659349343386,144.7515411376953,7379.091796875,
1659349343402,145.0397491455078,7402.72607421875,
1659349343418,145.179931640625,7384.2021484375,
1659349343433,145.4131317138672,7412.935546875,
1659349343448,145.5087890625,7408.7578125,
1659349343464,145.82313537597656,7448.677734375,
1659349343480,145.9329071044922,7420.9775390625,
1659349343496,146.1308135986328,7454.1923828125,
1659349343511,146.1308135986328,7454.1923828125,
1659349343527,146.5243682861328,7487.05322265625,
1659349343542,146.5243682861328,7487.05322265625,
1659349343557,146.591064453125,7464.8544921875,
1659349343573,146.79800415039062,7505.748046875,
1659349343588,146.85223388671875,7501.935546875,
1659349343603,147.17381286621094,7548.392578125,
1659349343618,147.26849365234375,7513.49072265625,
1659349343633,147.43600463867188,7549.4892578125,
1659349343648,147.63885498046875,7560.162109375,
1659349343664,147.90530395507812,7569.78564453125,
1659349343680,147.99664306640625,7552.30224609375,
1659349343696,148.2514190673828,7591.59130859375,
1659349343712,148.2514190673828,7591.59130859375,
1659349343728,148.57704162597656,7619.41015625,
1659349343743,148.68653869628906,7602.95751953125,
1659349343759,148.68653869628906,7602.95751953125,
1659349343775,148.91156005859375,7631.7890625,
1659349343791,148.92269897460938,7673.611328125,
1659349343807,149.18092346191406,7673.611328125,
1659349343823,149.2627410888672,7651.15673828125,
1659349343838,149.4480438232422,7680.80224609375,
1659349343854,149.42677307128906,7673.22216796875,
1659349343869,149.69964599609375,7728.58154296875,
1659349343885,149.75155639648438,7695.96875,
1659349343900,149.89454650878906,7730.97119140625,
1659349343916,149.9593963623047,7735.3271484375,
1659349343932,150.22952270507812,7771.1572265625,
1659349343948,150.30270385742188,7742.2646484375,
1659349343963,150.478759765625,7777.5625,
1659349343979,150.478759765625,7777.5625,
1659349343995,150.86434936523438,7806.4169921875,
1659349344010,150.97186279296875,7784.23095703125,
1659349344026,150.97186279296875,7784.23095703125,
1659349344041,151.16973876953125,7812.99951171875,
1659349344057,151.2346954345703,7807.4951171875,
1659349344073,151.4935302734375,7846.74365234375,
1659349344089,151.60842895507812,7823.27001953125,
1659349344104,151.7768096923828,7843.8134765625,
1659349344120,151.78201293945312,7841.79248046875,
1659349344136,152.11517333984375,7891.4765625,
1659349344152,152.17153930664062,7844.48388671875,
1659349344167,152.31288146972656,7881.2412109375,
1659349344182,152.5094757080078,7891.8154296875,
1659349344198,152.70579528808594,7895.56689453125,
1659349344213,152.81692504882812,7893.21435546875,
1659349344228,153.08432006835938,7925.3828125,
1659349344244,153.08432006835938,7925.3828125,
1659349344259,153.18096923828125,7947.49169921875,
1659349344275,153.41790771484375,7947.49169921875,
1659349344291,153.61007690429688,7940.90087890625,
1659349344306,153.9095001220703,7952.28564453125,
1659349344322,153.95120239257812,7924.04833984375,
1659349344338,154.198974609375,7976.29541015625,
1659349344354,154.38504028320312,7964.28955078125,
1659349344370,154.6494598388672,7972.634765625,
1659349344386,154.6634979248047,7950.32568359375,
1659349344401,154.9244384765625,8005.3720703125,
1659349344417,155.0161590576172,7984.970703125,
1659349344433,155.26319885253906,8014.26220703125,
1659349344448,155.27853393554688,7992.3203125,
1659349344462,155.43458557128906,8040.09033203125,
1659349344477,155.5457000732422,8042.8271484375,
1659349344493,155.5457000732422,8042.8271484375,
1659349344509,155.7439422607422,8059.0849609375,
1659349344525,155.85586547851562,8103.3994140625,
1659349344541,155.85586547851562,8103.3994140625,
1659349344556,155.9066619873047,8090.931640625,
1659349344572,156.0317840576172,8113.24560546875,
1659349344587,155.9735565185547,8106.7392578125,
1659349344602,156.08265686035156,8152.96533203125,
1659349344618,156.03823852539062,8147.81396484375,
1659349344634,156.10809326171875,8183.3173828125,
1659349344649,156.03126525878906,8179.056640625,
1659349344665,156.08523559570312,8218.951171875,
1659349344681,156.0858612060547,8223.16015625,
1659349344697,156.12722778320312,8243.9892578125,
1659349344712,156.1195526123047,8250.3544921875,
1659349344727,156.1195526123047,8250.3544921875,
1659349344743,156.24827575683594,8285.626953125,
1659349344758,156.24827575683594,8285.626953125,
1659349344774,156.32493591308594,8293.6533203125,
1659349344790,156.33448791503906,8297.275390625,
1659349344805,156.41928100585938,8328.0791015625,
1659349344820,156.50201416015625,8333.9296875,
1659349344835,156.5631561279297,8338.5615234375,
1659349344851,156.5692138671875,8342.4462890625,
1659349344867,156.70814514160156,8366.2900390625,
1659349344882,156.71363830566406,8345.9931640625,
1659349344897,156.7896270751953,8367.6044921875,
1659349344913,156.83848571777344,8372.9951171875,
1659349344928,156.83848571777344,8372.9951171875,
1659349344944,157.0239715576172,8397.7001953125,
1659349344960,157.0239715576172,8397.7001953125,
