time,speed,rpm,gear
1662162192934,107.32,5235.46,5
1662162192955,107.15,5236.66,5
1662162192969,107.03,5235.01,5
1662162192984,106.89,5218.23,5
1662162193005,106.68,5203.61,5
1662162193019,106.51,5212.1,5
1662162193033,106.42,5208.81,5
1662162193054,106.27,5183.57,5
1662162193068,106.09,5172.91,5
1662162193088,105.92,5174.38,5
1662162193102,105.8,5172.23,5
1662162193116,105.66,5155.11,5
1662162193137,105.45,5141.55,5
1662162193151,105.28,5150.11,5
1662162193172,105.19,5147.74,5
1662162193186,105.05,5122.28,5
1662162193200,104.87,5110.94,5
1662162193221,104.71,5111.27,5
1662162193235,104.58,5107.68,5
1662162193249,104.44,5095.84,5
1662162193270,104.25,5083.57,5
1662162193284,104.08,5087.7,5
1662162193305,103.99,5085.19,5
1662162193319,103.85,5061.91,5
1662162193333,103.65,5050.17,5
1662162193354,103.49,5057.33,5
1662162193368,103.4,5054.88,5
1662162193382,103.26,5031.2,5
1662162193403,103.08,5020.13,5
1662162193417,102.92,5022.33,5
1662162193438,102.8,5018.95,5
1662162193452,102.66,5004.34,5
1662162193466,102.46,4992.52,5
1662162193487,102.31,4999.17,5
1662162193501,102.22,4995.42,5
1662162193522,102.08,4971.87,5
1662162193536,101.9,4961.69,5
1662162193550,101.73,4965.24,5
1662162193571,101.63,4963.93,5
1662162193585,101.5,4943.9,5
1662162193599,101.3,4931.08,5
1662162193620,101.15,4940.07,5
1662162193634,101.06,4934.87,5
1662162193655,100.92,4912.62,5
1662162193669,100.75,4904.44,5
1662162193683,100.58,4905.27,5
1662162193703,100.47,4904.49,5
1662162193718,100.35,4888.74,5
1662162193738,100.16,4874.33,5
1662162193752,100.01,4881.45,5
1662162193766,99.92,4878.21,5
1662162193787,99.78,4855.93,5
1662162193801,99.6,4845.97,5
1662162193822,99.44,4850.45,5
1662162193836,99.35,4848.2,5
1662162193850,99.22,4828.53,5
1662162193871,99.02,4817.13,5
1662162193885,98.88,4825.16,5
1662162193899,98.79,4821.69,5
1662162193920,98.66,4799.19,5
1662162193934,98.48,4789.91,5
1662162193955,98.33,4791.76,5
1662162193969,98.22,4790.17,5
1662162193983,98.1,4775.15,5
1662162194004,97.91,4761.68,5
1662162194018,97.76,4769.74,5
1662162194039,97.68,4766.84,5
1662162194053,97.55,4743.44,5
1662162194067,97.37,4734.19,5
1662162194088,97.22,4737.6,5
1662162194102,97.13,4735.09,5
1662162194116,97.0,4717.54,5
1662162194137,96.81,4706.28,5
1662162194151,96.66,4715.43,5
1662162194172,96.58,4712.5,5
1662162194186,96.45,4688.45,5
1662162194200,96.29,4679.49,5
1662162194220,96.15,4679.69,5
1662162194234,96.02,4677.03,5
1662162194255,95.91,4667.8,5
1662162194269,95.74,4655.03,5
1662162194283,95.58,4657.8,5
1662162194305,95.5,4657.87,5
1662162194318,95.38,4636.6,5
1662162194332,95.19,4624.54,5
1662162194353,95.05,4634.48,5
1662162194367,94.98,4629.72,5
1662162194388,94.84,4606.27,5
1662162194402,94.69,4599.92,5
1662162194416,94.53,4599.14,5
1662162194437,94.42,4599.25,5
1662162194451,94.31,4588.46,5
1662162194472,94.14,4572.86,5
1662162194486,94.04,4600.35,5
1662162194501,94.11,4628.65,5
1662162194521,94.21,4630.61,5
1662162194535,94.24,4646.36,5
1662162194549,94.45,4701.0,5
1662162194571,94.77,4721.43,5
1662162194585,95.01,4707.22,5
1662162194606,95.19,4713.47,5
1662162194619,95.4,4740.26,5
1662162194633,95.68,4760.75,5
1662162194654,95.94,4757.27,5
1662162194668,96.09,4757.93,5
1662162194682,96.29,4792.7,5
1662162194703,96.61,4813.59,5
1662162194717,96.87,4799.13,5
1662162194738,97.02,4802.27,5
1662162194752,97.22,4838.16,5
1662162194766,97.53,4857.27,5
1662162194787,97.79,4845.38,5
1662162194801,97.93,4847.77,5
1662162194822,98.13,4886.2,5
1662162194836,98.45,4905.09,5
1662162194850,98.7,4889.96,5
1662162194870,98.84,4895.78,5
1662162194885,99.05,4933.57,5
1662162194899,99.36,4949.28,5
1662162194920,99.61,4938.21,5
1662162194933,99.75,4942.92,5
1662162194954,99.96,4980.53,5
1662162194968,100.27,4996.59,5
1662162194982,100.52,4985.37,5
1662162195003,100.66,4989.38,5
1662162195018,100.86,5025.13,5
1662162195038,101.18,5045.03,5
1662162195052,101.43,5031.32,5
1662162195066,101.56,5035.52,5
1662162195087,101.78,5074.57,5
1662162195101,102.09,5088.4,5
1662162195122,102.32,5077.48,5
1662162195136,102.47,5085.28,5
1662162195150,102.69,5118.35,5
1662162195171,102.98,5134.37,5
1662162195185,103.23,5127.72,5
1662162195199,103.37,5130.34,5
1662162195220,103.57,5165.78,5
1662162195234,103.89,5185.93,5
1662162195255,104.14,5170.42,5
1662162195269,104.27,5175.27,5
1662162195283,104.49,5214.09,5
1662162195304,104.78,5227.15,5
1662162195317,105.04,5219.47,5
1662162195339,105.18,5222.47,5
1662162195352,105.37,5256.33,5
1662162195366,105.7,5280.14,5
1662162195387,105.94,5261.92,5
1662162195402,106.06,5268.0,5
1662162195415,106.3,5309.44,5
1662162195436,106.58,5316.93,5
1662162195450,106.82,5311.77,5
1662162195472,106.98,5319.04,5
1662162195485,107.17,5347.63,5
1662162195499,107.47,5369.58,5
1662162195521,107.73,5360.49,5
1662162195535,107.85,5359.73,5
1662162195556,108.06,5399.61,5
1662162195570,108.38,5417.57,5
1662162195584,108.61,5400.92,5
