time,speed,rpm,gear
1662162268462,122.99,6058.54,5
1662162268476,122.82,6031.6,5
1662162268496,122.58,6015.66,5
1662162268511,122.37,6018.55,5
1662162268525,122.23,6016.32,5
1662162268546,122.06,5992.11,5
1662162268560,121.81,5975.32,5
1662162268581,121.62,5983.75,5
1662162268595,121.48,5977.8,5
1662162268609,121.31,5951.75,5
1662162268629,121.09,5938.94,5
1662162268643,120.87,5937.96,5
1662162268658,120.72,5937.97,5
1662162268679,120.56,5917.77,5
1662162268693,120.31,5898.99,5
1662162268714,120.12,5908.53,5
1662162268728,120.0,5901.71,5
1662162268742,119.82,5874.73,5
1662162268762,119.61,5863.3,5
1662162268777,119.39,5861.56,5
1662162268791,119.25,5862.11,5
1662162268812,119.09,5842.15,5
1662162268825,118.84,5823.45,5
1662162268847,118.66,5832.79,5
1662162268861,118.54,5825.77,5
1662162268875,118.36,5799.55,5
1662162268896,118.15,5788.56,5
1662162268910,117.94,5787.36,5
1662162268931,117.8,5788.18,5
1662162268945,117.65,5767.68,5
1662162268958,117.4,5749.04,5
1662162268979,117.22,5759.17,5
1662162268993,117.1,5751.16,5
1662162269008,116.92,5725.37,5
1662162269028,116.72,5715.7,5
1662162269043,116.51,5712.9,5
1662162269063,116.37,5714.99,5
1662162269077,116.22,5696.67,5
1662162269091,115.98,5676.8,5
1662162269112,115.81,5685.46,5
1662162269127,115.69,5677.14,5
1662162269148,115.51,5652.92,5
1662162269161,115.3,5644.27,5
1662162269175,115.1,5645.04,5
1662162269196,114.98,5644.23,5
1662162269210,114.82,5621.15,5
1662162269224,114.59,5604.78,5
1662162269245,114.41,5614.22,5
1662162269259,114.29,5608.05,5
1662162269280,114.13,5582.95,5
1662162269294,113.93,5572.02,5
1662162269308,113.73,5569.87,5
1662162269329,113.58,5571.22,5
1662162269343,113.44,5555.01,5
1662162269364,113.22,5535.73,5
1662162269378,113.05,5543.29,5
1662162269392,112.93,5536.24,5
1662162269413,112.76,5512.63,5
1662162269427,112.55,5503.74,5
1662162269441,112.36,5506.96,5
1662162269462,112.24,5505.59,5
1662162269476,112.09,5481.36,5
1662162269497,111.87,5466.42,5
1662162269511,111.7,5472.38,5
1662162269525,111.58,5466.9,5
1662162269546,111.42,5445.27,5
1662162269560,111.21,5434.02,5
1662162269581,111.02,5438.28,5
1662162269595,110.91,5436.3,5
1662162269609,110.76,5413.31,5
1662162269630,110.54,5398.84,5
1662162269644,110.37,5405.05,5
1662162269658,110.25,5399.83,5
1662162269679,110.1,5378.41,5
1662162269693,109.89,5366.99,5
1662162269714,109.71,5371.2,5
